IDCliente,Estado Civil,Género,Hijos,Hijos en casa,Educación,Ocupación,Casa,Coches,Distancia,Región,Comprador,Edad,Ingresos
16413,M,F,4,0,High School,Manual,0,2,0-1 Miles,Europe,0,78,10000
16414,S,F,3,2,Partial High School,Manual,1,2,0-1 Miles,Europe,1,45,10000
16415,S,M,3,3,High School,Manual,1,0,0-1 Miles,Europe,1,45,20000
16416,S,M,2,2,Partial College,Manual,1,0,0-1 Miles,Europe,1,40,30000
16417,S,M,2,2,Partial College,Manual,1,0,0-1 Miles,Europe,1,40,30000
16418,S,F,3,2,Partial High School,Manual,1,2,0-1 Miles,Europe,0,41,10000
16419,M,F,3,3,High School,Manual,0,1,0-1 Miles,Europe,0,46,20000
16420,S,M,3,3,High School,Manual,1,1,0-1 Miles,Europe,1,40,20000
16421,S,F,3,3,High School,Manual,1,1,0-1 Miles,Europe,0,40,20000
16422,S,M,3,3,High School,Manual,1,1,0-1 Miles,Europe,1,36,20000
16423,S,M,4,0,High School,Manual,1,2,0-1 Miles,Europe,0,76,10000
16424,M,F,0,0,Bachelors,Professional,0,0,0-1 Miles,Europe,1,43,40000
16425,M,F,0,0,Bachelors,Professional,1,0,0-1 Miles,Europe,1,44,40000
16426,M,M,0,0,Bachelors,Professional,1,0,0-1 Miles,Europe,1,43,40000
16427,S,F,0,0,Graduate Degree,Skilled Manual,1,0,0-1 Miles,Europe,1,38,60000
16428,S,M,4,4,High School,Manual,1,1,0-1 Miles,Europe,1,47,20000
16429,M,F,1,0,Partial College,Clerical,1,1,2-5 Miles,Europe,1,41,30000
16430,S,M,2,2,Partial College,Clerical,1,1,0-1 Miles,Europe,1,44,30000
16431,S,M,2,2,Partial College,Clerical,1,1,0-1 Miles,Europe,1,39,30000
16432,S,M,2,2,Partial College,Clerical,1,2,0-1 Miles,Europe,1,40,30000
16433,M,M,2,2,Partial College,Clerical,0,2,0-1 Miles,Europe,1,40,30000
16434,M,F,1,0,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,0,45,40000
16435,M,M,1,0,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,0,40,40000
16436,S,M,2,2,Partial College,Clerical,1,3,0-1 Miles,Europe,1,41,30000
16437,S,M,0,0,High School,Manual,0,1,2-5 Miles,Europe,0,32,20000
16438,M,F,0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,0,33,10000
16439,S,F,4,4,High School,Manual,1,2,0-1 Miles,Europe,0,30,20000
16440,S,M,4,4,High School,Manual,1,2,0-1 Miles,Europe,0,30,20000
16441,M,M,5,5,High School,Manual,0,2,0-1 Miles,Europe,0,31,20000
16442,S,M,3,3,Partial College,Clerical,1,1,0-1 Miles,Europe,1,30,30000
16443,S,F,3,3,Partial College,Clerical,1,2,0-1 Miles,Europe,0,31,30000
16444,M,F,1,0,Bachelors,Skilled Manual,1,0,0-1 Miles,Europe,1,46,40000
16445,S,F,1,0,Partial College,Clerical,1,1,2-5 Miles,Europe,1,47,30000
16446,M,F,1,0,Partial College,Clerical,1,1,2-5 Miles,Europe,1,47,30000
16447,M,F,1,0,Bachelors,Skilled Manual,1,1,0-1 Miles,Europe,1,41,40000
16448,M,F,1,0,Bachelors,Skilled Manual,1,1,0-1 Miles,Europe,1,48,40000
16449,S,M,4,4,Partial College,Clerical,1,2,0-1 Miles,Europe,0,32,30000
16450,S,F,5,5,Partial College,Clerical,1,2,0-1 Miles,Europe,0,32,30000
16451,S,M,0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,1,32,30000
16452,S,F,0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,1,32,30000
16453,S,F,0,0,Partial College,Clerical,0,1,2-5 Miles,Europe,0,32,30000
16454,M,M,0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,0,32,30000
16455,M,F,4,0,High School,Manual,0,2,0-1 Miles,Europe,0,98,10000
16456,S,M,0,0,High School,Manual,0,1,5-10 Miles,Europe,0,34,20000
16457,S,F,0,0,Partial High School,Manual,0,1,2-5 Miles,Europe,0,34,20000
16458,S,F,0,0,Partial College,Clerical,0,1,2-5 Miles,Europe,0,33,30000
16459,M,F,0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,0,33,30000
16460,S,F,0,0,Partial College,Clerical,0,1,2-5 Miles,Europe,0,33,30000
16461,S,F,0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,1,34,30000
16462,S,F,0,0,Partial High School,Manual,0,1,2-5 Miles,Europe,0,34,20000
16463,S,F,0,0,Partial High School,Manual,0,1,5-10 Miles,Europe,0,34,20000
16464,S,M,0,0,Partial High School,Manual,1,2,0-1 Miles,Europe,0,35,10000
16465,S,F,0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,1,35,20000
16466,S,F,0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,1,35,20000
16467,S,M,0,0,Partial High School,Manual,1,2,1-2 Miles,Europe,0,35,20000
16468,S,M,0,0,Partial College,Clerical,1,1,2-5 Miles,Europe,0,34,30000
16469,S,F,0,0,Partial College,Clerical,1,1,2-5 Miles,Europe,0,34,30000
16470,M,M,1,1,Bachelors,Skilled Manual,1,0,1-2 Miles,Europe,1,34,40000
16471,M,F,4,0,High School,Manual,0,2,0-1 Miles,Europe,0,96,10000
16472,S,F,0,0,Partial High School,Manual,0,2,1-2 Miles,Europe,0,30,20000
16473,S,F,0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,0,37,10000
16474,M,M,0,0,Partial High School,Manual,0,2,0-1 Miles,Europe,0,36,10000
16475,S,M,0,0,Partial High School,Manual,0,2,1-2 Miles,Europe,1,30,20000
16476,S,M,0,0,Partial College,Clerical,0,1,0-1 Miles,Europe,1,36,30000
16477,S,F,0,0,Partial High School,Clerical,0,2,1-2 Miles,North America,0,32,40000
16478,S,M,0,0,Partial College,Skilled Manual,0,2,0-1 Miles,North America,1,33,70000
16479,S,F,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,33,60000
16480,M,M,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,0,55,20000
16481,S,F,2,1,Partial High School,Clerical,1,2,5-10 Miles,Pacific,0,60,20000
16482,M,F,3,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,1,59,30000
16483,M,M,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,1,53,40000
16484,M,M,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,1,60,40000
16485,S,M,0,0,Partial High School,Clerical,1,2,5-10 Miles,North America,0,29,40000
16486,M,F,3,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,0,58,30000
16487,S,F,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,58,30000
16488,M,M,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,58,30000
16489,M,M,3,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,58,30000
16490,M,F,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,1,29,60000
16491,S,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,1,30,70000
16492,M,M,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,0,58,40000
16493,M,F,3,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,56,40000
16494,S,F,2,0,Partial College,Skilled Manual,0,2,1-2 Miles,Pacific,1,49,80000
16495,S,F,2,0,Partial College,Skilled Manual,0,2,1-2 Miles,Pacific,1,55,80000
16496,S,F,2,0,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,1,50,80000
16497,S,F,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,34,30000
16498,S,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,34,30000
16499,S,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,34,30000
16500,S,F,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,1,35,30000
16501,S,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,34,30000
16502,S,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,35,30000
16503,M,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,35,60000
16504,S,M,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,1,35,30000
16505,S,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,30,30000
16506,M,F,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,30,60000
16507,M,F,2,0,Bachelors,Clerical,1,1,2-5 Miles,Europe,0,70,10000
16508,M,M,2,0,Bachelors,Clerical,1,1,2-5 Miles,Europe,0,70,10000
16509,M,F,1,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,68,30000
16510,M,M,3,0,Partial College,Manual,1,1,0-1 Miles,Europe,0,67,10000
16511,M,M,1,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,0,67,30000
16512,S,M,1,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,1,67,40000
16513,S,M,3,0,Partial College,Manual,1,1,1-2 Miles,Europe,1,66,10000
16514,S,M,0,0,Partial College,Manual,1,1,1-2 Miles,Pacific,1,30,10000
16515,M,M,0,0,Partial College,Manual,0,1,0-1 Miles,Pacific,1,30,10000
16516,M,M,0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,1,29,20000
16517,M,F,1,1,High School,Manual,1,0,2-5 Miles,Pacific,1,34,10000
16518,S,F,1,1,High School,Manual,0,0,1-2 Miles,Pacific,1,33,10000
16519,S,F,1,1,High School,Manual,0,0,2-5 Miles,Pacific,1,33,10000
16520,M,F,1,1,High School,Manual,1,0,2-5 Miles,Pacific,1,33,10000
16521,S,F,1,1,High School,Manual,0,0,2-5 Miles,Pacific,1,30,10000
16522,M,F,1,1,High School,Manual,1,0,2-5 Miles,Pacific,1,30,10000
16523,M,F,0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,1,31,20000
16524,M,M,0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,1,30,20000
16525,M,F,0,0,Bachelors,Clerical,0,0,0-1 Miles,Pacific,1,31,20000
16526,S,M,0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,1,31,20000
16527,S,M,0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,1,31,20000
16528,S,F,0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,1,31,20000
16529,M,M,0,0,Bachelors,Clerical,1,0,0-1 Miles,Pacific,1,32,20000
16530,M,F,1,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,66,30000
16531,S,F,1,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,66,30000
16532,S,M,1,1,Partial College,Manual,0,0,1-2 Miles,Europe,1,37,20000
16533,M,F,1,1,Partial College,Manual,1,0,1-2 Miles,Europe,1,48,20000
16534,M,F,4,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,1,49,30000
16535,S,M,1,1,High School,Manual,0,1,1-2 Miles,Europe,0,44,10000
16536,S,F,1,1,High School,Manual,0,1,1-2 Miles,Europe,0,49,10000
16537,S,M,1,1,Partial College,Manual,0,0,0-1 Miles,Europe,0,49,20000
16538,S,F,1,1,Partial College,Manual,0,0,1-2 Miles,Europe,1,50,20000
16539,S,F,1,1,Partial College,Manual,0,0,0-1 Miles,Europe,0,44,20000
16540,M,M,1,1,Partial College,Manual,1,0,1-2 Miles,Europe,1,49,20000
16541,S,M,1,1,Partial College,Manual,0,0,1-2 Miles,Europe,1,49,20000
16542,M,M,1,1,Partial College,Manual,1,0,2-5 Miles,Europe,0,49,20000
16543,M,F,1,1,Partial College,Manual,1,0,2-5 Miles,Europe,0,38,20000
16544,M,M,1,1,High School,Manual,1,1,2-5 Miles,Europe,0,45,10000
16545,M,F,1,1,High School,Manual,1,1,2-5 Miles,Europe,0,51,10000
16546,M,M,2,0,Partial College,Manual,1,1,0-1 Miles,Europe,1,50,20000
16547,M,M,2,0,Partial College,Manual,1,1,2-5 Miles,Europe,1,41,20000
16548,M,M,3,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,44,30000
16549,S,F,3,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,50,30000
16550,M,M,0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,45,30000
16551,S,F,0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,39,30000
16552,M,M,0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,50,30000
16553,M,F,3,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,1,51,40000
16554,S,F,1,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,51,30000
16555,M,M,1,1,High School,Manual,1,1,5-10 Miles,Europe,0,39,10000
16556,S,F,0,0,Partial College,Manual,0,1,0-1 Miles,Europe,0,40,20000
16557,S,M,0,0,Partial College,Manual,1,1,2-5 Miles,Europe,0,34,20000
16558,S,M,0,0,Partial College,Manual,0,1,2-5 Miles,Europe,0,34,20000
16559,S,F,2,2,High School,Manual,1,0,0-1 Miles,Europe,1,40,10000
16560,S,M,0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,39,30000
16561,M,M,0,0,Bachelors,Clerical,1,0,0-1 Miles,Europe,1,33,30000
16562,M,F,0,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,1,34,40000
16563,S,F,2,0,Graduate Degree,Clerical,1,1,2-5 Miles,Europe,0,90,20000
16564,S,F,0,0,Partial College,Manual,1,1,2-5 Miles,Europe,0,40,20000
16565,M,M,0,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,1,40,40000
16566,S,F,0,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,1,35,40000
16567,S,M,0,0,Graduate Degree,Skilled Manual,1,0,0-1 Miles,Europe,1,40,50000
16568,M,F,1,0,Graduate Degree,Clerical,1,0,0-1 Miles,Europe,0,88,40000
16569,S,F,3,0,Partial College,Manual,1,2,0-1 Miles,Europe,1,52,10000
16570,M,F,2,0,Partial College,Manual,1,1,2-5 Miles,Europe,1,47,20000
16571,M,F,2,0,Partial College,Manual,1,1,2-5 Miles,Europe,0,53,20000
16572,S,M,2,2,High School,Manual,1,1,0-1 Miles,Europe,1,36,10000
16573,S,M,1,1,Partial College,Manual,0,0,0-1 Miles,Europe,1,42,20000
16574,S,M,1,1,Partial College,Manual,0,0,1-2 Miles,Europe,0,36,20000
16575,S,F,3,4,Graduate Degree,Management,0,2,0-1 Miles,Europe,1,65,170000
16576,S,M,5,0,Partial College,Professional,1,2,10+ Miles,Europe,0,63,90000
16577,S,F,5,0,Partial College,Professional,0,2,2-5 Miles,Europe,0,63,90000
16578,S,F,2,3,Bachelors,Management,1,4,10+ Miles,Europe,0,63,100000
16579,M,M,4,3,High School,Professional,1,1,10+ Miles,Europe,0,56,70000
16580,M,F,3,4,High School,Professional,0,2,2-5 Miles,Europe,1,55,100000
16581,S,M,3,4,High School,Professional,1,3,10+ Miles,Europe,0,50,100000
16582,M,M,3,4,High School,Professional,1,3,10+ Miles,Europe,0,49,100000
16583,M,M,3,4,High School,Professional,1,3,10+ Miles,Europe,0,55,100000
16584,S,M,0,4,High School,Professional,0,4,0-1 Miles,Europe,0,55,170000
16585,M,M,0,5,Partial High School,Professional,1,2,10+ Miles,Europe,1,55,170000
16586,M,M,3,4,Partial College,Professional,1,4,10+ Miles,Europe,0,45,100000
16587,M,M,3,5,Bachelors,Management,1,2,10+ Miles,Europe,1,56,120000
16588,M,M,4,5,Partial College,Professional,1,2,10+ Miles,Europe,1,56,130000
16589,M,M,5,5,Partial College,Professional,1,2,10+ Miles,Europe,1,56,130000
16590,M,M,3,5,Bachelors,Management,1,3,10+ Miles,Europe,0,51,150000
16591,M,M,3,4,Bachelors,Management,1,4,0-1 Miles,Europe,0,45,160000
16592,M,F,4,1,Partial College,Professional,1,2,10+ Miles,Europe,0,57,80000
16593,M,F,4,5,Partial College,Professional,0,3,10+ Miles,Europe,0,58,120000
16594,M,M,4,5,Bachelors,Management,0,3,10+ Miles,Europe,1,58,170000
16595,M,M,4,5,Bachelors,Management,1,3,0-1 Miles,Europe,1,57,170000
16596,S,F,5,2,Partial High School,Skilled Manual,1,2,10+ Miles,Europe,1,59,70000
16597,S,F,3,4,Partial College,Professional,1,4,10+ Miles,Europe,0,59,100000
16598,S,F,4,5,High School,Professional,0,3,0-1 Miles,Europe,1,58,130000
16599,M,M,4,5,Bachelors,Management,1,3,10+ Miles,Europe,0,59,150000
16600,S,F,4,1,High School,Management,1,3,10+ Miles,Europe,0,61,90000
16601,S,F,5,5,High School,Management,0,4,0-1 Miles,Europe,0,62,130000
16602,M,F,4,5,High School,Management,1,4,10+ Miles,Europe,0,61,150000
16603,M,F,4,5,Partial High School,Professional,1,3,10+ Miles,Europe,1,62,110000
16604,M,M,5,5,High School,Management,0,4,10+ Miles,Europe,0,63,120000
16605,M,F,0,0,Bachelors,Professional,1,4,10+ Miles,Pacific,0,34,60000
16606,S,M,0,0,Bachelors,Professional,1,3,10+ Miles,Pacific,0,33,70000
16607,M,M,0,0,Bachelors,Professional,1,3,10+ Miles,Pacific,1,34,70000
16608,S,M,0,0,Bachelors,Professional,1,3,10+ Miles,Pacific,0,34,70000
16609,S,M,0,0,Bachelors,Professional,0,4,10+ Miles,Pacific,0,30,70000
16610,M,F,0,0,Bachelors,Professional,0,4,10+ Miles,Pacific,0,35,70000
16611,S,M,0,0,Bachelors,Professional,0,3,10+ Miles,Pacific,0,35,80000
16612,S,F,0,0,Bachelors,Professional,0,2,10+ Miles,Pacific,1,34,90000
16613,M,F,0,0,Bachelors,Professional,1,4,10+ Miles,Pacific,0,35,70000
16614,M,F,0,0,Bachelors,Professional,1,3,10+ Miles,Pacific,0,36,80000
16615,S,F,0,0,Bachelors,Professional,0,3,10+ Miles,Pacific,0,37,80000
16616,S,M,0,0,Bachelors,Professional,0,2,10+ Miles,Pacific,1,30,90000
16617,M,M,0,5,High School,Management,1,1,10+ Miles,Pacific,0,36,100000
16618,M,F,0,5,Partial College,Management,1,3,10+ Miles,Pacific,0,35,110000
16619,M,F,5,5,Partial High School,Professional,0,4,10+ Miles,Pacific,0,35,120000
16620,M,M,0,0,Bachelors,Professional,1,3,10+ Miles,Pacific,1,31,90000
16621,M,F,0,5,High School,Management,0,2,10+ Miles,Pacific,0,31,100000
16622,S,M,0,5,High School,Management,1,2,10+ Miles,Pacific,0,36,100000
16623,S,M,5,5,Bachelors,Professional,1,4,0-1 Miles,Pacific,1,36,150000
16624,S,M,0,0,Bachelors,Professional,0,3,10+ Miles,Pacific,1,32,90000
16625,M,M,0,5,High School,Management,0,2,10+ Miles,Pacific,0,32,100000
16626,S,M,0,5,High School,Management,1,3,10+ Miles,Pacific,0,37,100000
16627,M,F,0,0,Bachelors,Professional,1,4,10+ Miles,Pacific,0,33,80000
16628,S,M,0,0,Bachelors,Professional,0,4,10+ Miles,Pacific,0,38,80000
16629,S,F,0,5,High School,Management,1,4,10+ Miles,Pacific,1,37,110000
16630,M,M,0,5,High School,Management,1,4,10+ Miles,Pacific,1,37,110000
16631,S,F,0,0,Bachelors,Professional,1,4,10+ Miles,Pacific,1,39,90000
16632,S,M,0,5,High School,Management,1,3,10+ Miles,Pacific,0,38,100000
16633,M,F,0,5,High School,Management,1,4,10+ Miles,Pacific,0,38,100000
16634,M,F,0,0,Bachelors,Professional,1,4,10+ Miles,Pacific,0,34,90000
16635,M,M,0,5,Partial High School,Professional,1,4,10+ Miles,Pacific,0,40,100000
16636,M,M,0,5,High School,Management,1,4,10+ Miles,Pacific,1,39,110000
16637,M,M,0,5,High School,Management,1,4,10+ Miles,Pacific,1,38,110000
16638,M,M,0,5,Partial High School,Professional,1,4,10+ Miles,Pacific,1,38,110000
16639,S,F,0,5,Partial High School,Professional,1,4,10+ Miles,Pacific,1,38,110000
16640,M,M,0,5,Partial High School,Management,0,4,10+ Miles,Pacific,0,38,130000
16641,S,F,5,0,Bachelors,Management,1,2,10+ Miles,North America,1,68,70000
16642,S,M,2,3,Bachelors,Management,0,4,0-1 Miles,North America,0,62,130000
16643,S,M,1,2,Graduate Degree,Management,0,4,0-1 Miles,North America,0,68,170000
16644,M,M,1,3,Graduate Degree,Management,1,2,0-1 Miles,North America,0,68,170000
16645,M,F,5,0,Bachelors,Management,1,2,1-2 Miles,North America,1,67,80000
16646,M,M,2,3,Graduate Degree,Management,1,3,1-2 Miles,North America,0,67,100000
16647,M,F,2,4,Graduate Degree,Management,1,3,5-10 Miles,North America,0,67,120000
16648,M,F,2,3,Bachelors,Management,1,4,5-10 Miles,North America,0,67,130000
16649,M,F,2,4,Bachelors,Management,1,3,5-10 Miles,North America,0,67,110000
16650,M,F,2,4,Graduate Degree,Management,1,3,5-10 Miles,North America,0,66,120000
16651,M,F,2,4,Bachelors,Management,1,3,5-10 Miles,North America,0,66,120000
16652,M,F,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,0,31,60000
16653,M,F,0,0,Partial College,Professional,1,2,5-10 Miles,North America,1,36,70000
16654,M,F,0,0,Partial College,Professional,1,2,5-10 Miles,North America,1,31,70000
16655,M,F,0,0,Partial College,Professional,1,2,5-10 Miles,North America,0,34,60000
16656,M,M,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,1,54,80000
16657,M,M,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,1,55,80000
16658,S,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,54,80000
16659,S,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,54,80000
16660,S,M,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,1,53,70000
16661,S,M,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,53,70000
16662,S,F,2,0,High School,Professional,0,2,1-2 Miles,Pacific,1,53,70000
16663,S,F,2,0,High School,Professional,0,2,1-2 Miles,Pacific,1,52,70000
16664,M,F,0,1,Graduate Degree,Management,1,1,5-10 Miles,Pacific,1,51,130000
16665,S,F,0,1,Graduate Degree,Management,0,2,0-1 Miles,Pacific,0,51,130000
16666,S,F,0,0,Bachelors,Management,0,1,2-5 Miles,North America,0,36,80000
16667,S,F,0,0,High School,Professional,1,2,5-10 Miles,North America,0,35,30000
16668,S,M,0,0,High School,Professional,0,2,1-2 Miles,North America,1,35,30000
16669,S,M,0,0,Partial College,Professional,1,2,5-10 Miles,North America,0,36,60000
16670,S,F,0,0,Partial College,Professional,0,2,1-2 Miles,North America,1,35,60000
16671,S,F,0,0,Partial College,Professional,1,2,5-10 Miles,North America,0,35,60000
16672,S,F,0,0,Partial College,Professional,1,2,5-10 Miles,North America,0,35,60000
16673,S,M,0,0,Partial College,Professional,0,2,1-2 Miles,North America,1,35,60000
16674,M,M,0,1,Graduate Degree,Management,1,3,0-1 Miles,Pacific,0,44,130000
16675,S,F,0,0,Graduate Degree,Management,0,3,0-1 Miles,Pacific,1,45,160000
16676,M,F,0,1,Graduate Degree,Management,1,3,1-2 Miles,North America,0,38,130000
16677,M,M,0,1,Graduate Degree,Management,1,4,0-1 Miles,North America,0,32,130000
16678,M,M,2,0,Partial High School,Skilled Manual,1,2,5-10 Miles,North America,1,52,70000
16679,S,F,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,0,35,70000
16680,M,M,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,0,47,70000
16681,S,M,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,0,43,80000
16682,M,F,4,4,Bachelors,Professional,1,0,0-1 Miles,Pacific,0,42,90000
16683,M,F,4,4,Bachelors,Professional,1,0,0-1 Miles,Pacific,0,43,90000
16684,M,M,1,0,Bachelors,Professional,1,1,0-1 Miles,Pacific,1,47,60000
16685,S,F,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,47,60000
16686,M,F,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,47,60000
16687,S,M,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,1,43,60000
16688,S,F,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,1,48,60000
16689,M,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,0,48,60000
16690,M,F,0,0,Graduate Degree,Management,1,1,10+ Miles,Pacific,0,43,110000
16691,S,F,0,0,Graduate Degree,Management,0,2,1-2 Miles,Pacific,1,43,110000
16692,M,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,0,38,60000
16693,M,M,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,1,44,60000
16694,M,F,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,0,49,60000
16695,M,M,1,0,Bachelors,Professional,1,1,1-2 Miles,Pacific,0,50,90000
16696,S,F,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,1,45,70000
16697,S,M,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,0,44,80000
16698,S,F,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,0,40,70000
16699,M,M,5,0,Bachelors,Professional,1,1,10+ Miles,Pacific,0,50,100000
16700,S,M,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,0,41,70000
16701,S,F,0,0,Bachelors,Professional,0,2,0-1 Miles,Pacific,1,35,70000
16702,M,F,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,1,42,60000
16703,M,F,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,47,60000
16704,M,F,5,4,Partial College,Skilled Manual,1,2,0-1 Miles,Pacific,0,48,70000
16705,M,F,5,4,Bachelors,Professional,0,2,0-1 Miles,Pacific,0,51,80000
16706,M,F,5,4,Bachelors,Professional,1,2,1-2 Miles,Pacific,0,51,80000
16707,S,M,2,0,Bachelors,Professional,1,1,2-5 Miles,Pacific,1,51,90000
16708,S,F,2,0,Bachelors,Management,0,1,5-10 Miles,Pacific,1,40,90000
16709,M,M,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,0,73,30000
16710,M,F,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,0,49,70000
16711,M,M,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,0,50,70000
16712,S,F,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,1,53,70000
16713,M,M,2,0,Bachelors,Management,1,1,0-1 Miles,Pacific,1,56,40000
16714,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,33,30000
16715,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,33,30000
16716,S,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,34,30000
16717,M,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,0,34,40000
16718,S,M,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,0,34,40000
16719,S,M,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,0,35,40000
16720,S,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,29,30000
16721,M,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,29,30000
16722,S,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,29,30000
16723,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,29,30000
16724,S,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,29,30000
16725,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,29,30000
16726,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,30,30000
16727,S,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,1,29,40000
16728,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,30,40000
16729,M,M,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,0,72,30000
